yyyymmdd,security_name,positions,mkt_val_gbp,weight_in_total
2019-10-01,Accenture PLC,1061355.0,163594647.2931231,0.023804449179944565
2019-10-01,Alphabet Inc,180952.0,177333543.3262884,0.025803578478007936
2019-10-01,Apple Inc,825929.0,150784745.6592424,0.021940496676062002
2019-10-01,British American Tobacco PLC,5628884.0,168106620.65999997,0.024460980689319928
2019-10-01,Colgate-Palmolive Co,2870296.0,167360048.83758742,0.024352347972419624
2019-10-01,Nestle SA,2673801.0,232688931.9208115,0.03385827070930932
2019-10-01,Not Available,32719046.0,382893455.25669086,0.0557143399726283
2019-10-01,PepsiCo Inc,1168627.0,130494465.11949277,0.018988083746011374
2019-10-01,Starbucks Corp,2248104.0,158090942.15574706,0.023003612041249413
2019-10-01,Visa Inc,1528695.0,216579622.45976266,0.03151422556642366
2019-10-02,Accenture PLC,1061355.0,159466367.34942698,0.023360255807507186
2019-10-02,Alphabet Inc,180952.0,173163639.06364304,0.025366771516289147
2019-10-02,Apple Inc,825929.0,146992939.80330002,0.02153302124314637
2019-10-02,British American Tobacco PLC,5628884.0,163068769.48000002,0.02388797232033962
2019-10-02,Colgate-Palmolive Co,2870296.0,164523509.64805332,0.024101077459837257
2019-10-02,Nestle SA,2673801.0,229506885.15045258,0.03362050340653233
2019-10-02,Not Available,39926037.0,386831187.06654835,0.05666696767723613
2019-10-02,PepsiCo Inc,1168627.0,127225798.89457855,0.018637329343430986
2019-10-02,Starbucks Corp,2248104.0,154076346.64715922,0.022570670740100267
2019-10-02,Visa Inc,1528695.0,211020297.36649597,0.03091239995613592
2019-10-03,Accenture PLC,1061355.0,159917590.45572495,0.02332162504384113
2019-10-03,Alphabet Inc,180952.0,174425113.00681153,0.02543733351773278
2019-10-03,Apple Inc,825929.0,147892995.28057086,0.02156801495517133
2019-10-03,British American Tobacco PLC,5628884.0,156989574.76000002,0.022894617083156002
2019-10-03,Colgate-Palmolive Co,2870296.0,164951246.77262405,0.024055709673854273
2019-10-03,Nestle SA,2670365.0,230034202.2891469,0.0335471000892293
2019-10-03,Not Available,38263151.0,382030917.6768964,0.05571358217582596
2019-10-03,PepsiCo Inc,1168627.0,130707689.02854364,0.01906179117121355
2019-10-03,Starbucks Corp,2248104.0,154352064.28803116,0.02250997503032635
2019-10-03,Visa Inc,1528695.0,214292494.85079467,0.031251403928595003
2019-10-04,Accenture PLC,1061355.0,163227120.4281891,0.023359418221483276
2019-10-04,Alphabet Inc,180952.0,177575209.73157084,0.025412771964645937
2019-10-04,Apple Inc,825929.0,152051043.94615194,0.021760010942016846
2019-10-04,British American Tobacco PLC,5628884.0,157693185.26000002,0.022567457267536443
2019-10-04,Colgate-Palmolive Co,2870296.0,167757872.6137377,0.02400781375086892
2019-10-04,Nestle SA,2666580.0,232057837.58247128,0.03320977583530189
2019-10-04,Not Available,40481692.0,388243011.23045504,0.05556142169946653
2019-10-04,PepsiCo Inc,1168627.0,132945418.50620387,0.01902580663905542
2019-10-04,Starbucks Corp,2248104.0,156643496.61827913,0.022417236422373116
2019-10-04,Visa Inc,1528695.0,218165392.993269,0.031221629365360767
2019-10-07,Accenture PLC,1061355.0,161288316.56227124,0.02353169193355638
2019-10-07,Alphabet Inc,180952.0,177816162.77556333,0.02594307667428697
2019-10-07,Apple Inc,825929.0,152554656.09696576,0.022257465678968982
2019-10-07,British American Tobacco PLC,5628884.0,158959684.15999997,0.02319194841409576
2019-10-07,Colgate-Palmolive Co,2870296.0,167225737.83454,0.02439795163070456
2019-10-07,Nestle SA,2661910.0,234688720.0458003,0.03424068635663526
2019-10-07,Not Available,30148580.0,369953831.4350715,0.053975636775946016
2019-10-07,PepsiCo Inc,1168627.0,131512128.18677294,0.019187396532982567
2019-10-07,Starbucks Corp,2248104.0,156999697.71414626,0.02290598971466343
2019-10-07,Visa Inc,1528695.0,217496750.58976653,0.03173240716076243
2019-10-08,Accenture PLC,1061355.0,158260807.75840902,0.022925272060008682
2019-10-08,Alphabet Inc,180952.0,176181335.42843115,0.02552119570094778
2019-10-08,Apple Inc,825929.0,151680552.90940338,0.02197207249800512
2019-10-08,British American Tobacco PLC,5628884.0,158002773.88,0.022887893905890726
2019-10-08,Colgate-Palmolive Co,2870296.0,166030379.96562734,0.02405075321458656
2019-10-08,Nestle SA,2661075.0,234878137.8770397,0.034023870394995236
2019-10-08,Not Available,38939347.0,375681326.6089346,0.05442027462365953
2019-10-08,PepsiCo Inc,1168627.0,131256542.66306572,0.019013500517452233
2019-10-08,Starbucks Corp,2248104.0,156221057.8934446,0.022629798902434134
2019-10-08,Visa Inc,1528695.0,215711262.70562238,0.031247403914957193
2019-10-09,Accenture PLC,1061355.0,160290169.3429461,0.022983288200510682
2019-10-09,Alphabet Inc,180952.0,178247948.63182044,0.025558173600714572
2019-10-09,Apple Inc,825929.0,153621711.34687862,0.02202712792814421
2019-10-09,British American Tobacco PLC,5628884.0,158678239.96,0.022752160878610754
2019-10-09,Colgate-Palmolive Co,2870296.0,166089633.3606423,0.023814847325275373
2019-10-09,Nestle SA,2661075.0,235416259.8716683,0.033755281249598215
2019-10-09,Not Available,39885176.0,377494308.55178994,0.05412721518145992
2019-10-09,PepsiCo Inc,1168627.0,131980363.71456662,0.018924072190417182
2019-10-09,Starbucks Corp,2248104.0,158118735.37604457,0.022671936026673375
2019-10-09,Visa Inc,1528695.0,219021941.34032446,0.03140457347256241
2019-10-10,Accenture PLC,1061355.0,156802129.43020174,0.022717527518440115
2019-10-10,Alphabet Inc,180952.0,175835145.41509283,0.025475035123514723
2019-10-10,Apple Inc,825929.0,152726837.26593265,0.022127098279858398
2019-10-10,British American Tobacco PLC,5628884.0,158171640.4,0.022915942573492328
2019-10-10,Colgate-Palmolive Co,2870296.0,163249094.20557743,0.023651565214402693
2019-10-10,Nestle SA,2661075.0,230746658.2002903,0.03343062735501044
2019-10-10,Not Available,38064240.0,366010886.75300574,0.053027738985912946
2019-10-10,PepsiCo Inc,1168627.0,129504120.41308364,0.018762585877669512
2019-10-10,Starbucks Corp,2248104.0,155305810.36727476,0.02250074047854509
2019-10-10,Visa Inc,1528695.0,214850262.47689465,0.03112755399368211
2019-10-11,Accenture PLC,1061355.0,154972240.56678244,0.02264248925040393
2019-10-11,Alphabet Inc,180952.0,173637704.5468898,0.025369639390181754
2019-10-11,Apple Inc,825929.0,154004333.03599623,0.022501071434019145
2019-10-11,British American Tobacco PLC,5628884.0,152542756.4,0.022287525232788836
2019-10-11,Colgate-Palmolive Co,2870296.0,159760475.97095045,0.023342082727730973
2019-10-11,Nestle SA,2661075.0,225247394.7681332,0.03291016311092906
2019-10-11,Not Available,35644478.0,357128943.56914836,0.052178946604878644
2019-10-11,PepsiCo Inc,1168627.0,126973334.6068835,0.01855166030644937
2019-10-11,Starbucks Corp,2248104.0,153257231.9545311,0.02239191492867231
2019-10-11,Visa Inc,1528695.0,213664932.66498265,0.031217887302664005
2019-10-14,Accenture PLC,1061355.0,156155895.06662437,0.02433231166528751
2019-10-14,Alphabet Inc,180952.0,174736077.20494926,0.027227487555987244
2019-10-14,Apple Inc,816235.0,152700943.40894672,0.02379395888336245
2019-10-14,British American Tobacco PLC,5628884.0,152936778.28,0.023830706824140242
2019-10-14,Colgate-Palmolive Co,2870296.0,158016533.4390863,0.024622237529154642
2019-10-14,Nestle SA,2661075.0,224475952.04008588,0.03497798673608265
2019-10-14,Not Available,26984711.0,142234202.43693405,0.022163024595917288
2019-10-14,PepsiCo Inc,1168627.0,127401476.1659264,0.01985177968058399
2019-10-14,Starbucks Corp,2248104.0,154450165.35532996,0.02406652376830002
2019-10-14,Visa Inc,1528695.0,215045483.1852792,0.03350852503419146
2019-10-15,Accenture PLC,1061355.0,155214972.23742864,0.022760347223349544
2019-10-15,Alphabet Inc,180952.0,175840888.073825,0.025784881515813634
2019-10-15,Apple Inc,816235.0,150212262.61046377,0.022026762012296967
2019-10-15,British American Tobacco PLC,5628884.0,151811001.48000002,0.02226119720411885
2019-10-15,Colgate-Palmolive Co,2870296.0,153537378.9004458,0.022514349003597264
2019-10-15,Nestle SA,2661075.0,220762948.70790917,0.03237214357746651
2019-10-15,Not Available,35516830.0,354415920.1578016,0.051970691280575465
2019-10-15,PepsiCo Inc,1168627.0,124594446.63329947,0.01827022758562953
2019-10-15,Starbucks Corp,2248104.0,151989200.59435365,0.02228732789021902
2019-10-15,Visa Inc,1528695.0,213696904.08227104,0.03133599592458934
2019-10-16,Accenture PLC,1061355.0,154314995.59694517,0.022686934760632688
2019-10-16,Alphabet Inc,180952.0,175323263.09226933,0.025775508183174232
2019-10-16,Apple Inc,816235.0,149081200.86502495,0.021917477721319738
2019-10-16,British American Tobacco PLC,5628884.0,151613990.54,0.022289840976726524
2019-10-16,Colgate-Palmolive Co,2870296.0,151768690.46134663,0.022312584502133692
2019-10-16,Nestle SA,2661075.0,221047630.40413535,0.032497769582092
2019-10-16,Not Available,37675792.0,359378203.9326285,0.05283472183292014
2019-10-16,PepsiCo Inc,1168627.0,124239475.7948878,0.01826532069129399
2019-10-16,Starbucks Corp,2248104.0,151911703.4289277,0.022333609846124952
2019-10-16,Visa Inc,1528695.0,211899142.49532422,0.031152785917071282
2019-10-17,Accenture PLC,1061355.0,153172356.0623691,0.022552195748715947
2019-10-17,Alphabet Inc,180952.0,175873385.85059345,0.02589456169935136
2019-10-17,Apple Inc,816235.0,148975076.25475138,0.02193421298559265
2019-10-17,British American Tobacco PLC,5628884.0,150966668.88,0.02222744335620873
2019-10-17,Colgate-Palmolive Co,2870296.0,151586185.46272594,0.022318657329815833
2019-10-17,Nestle SA,2661075.0,217215261.46356788,0.03198149602229948
2019-10-17,Not Available,37672039.0,358391236.2716372,0.05276741523601826
2019-10-17,PepsiCo Inc,1168627.0,124160386.25397564,0.018280644151583668
2019-10-17,Starbucks Corp,2248104.0,150483976.54177338,0.02215637457866991
2019-10-17,Visa Inc,1528695.0,211012325.11054227,0.031068212199771485
2019-10-18,Accenture PLC,1061355.0,152925364.60258782,0.022692041238567624
2019-10-18,Alphabet Inc,180952.0,173494564.63339496,0.025744230367273642
2019-10-18,Apple Inc,816235.0,148618389.05576092,0.02205294472912929
2019-10-18,British American Tobacco PLC,5628884.0,149925325.34000003,0.02224687627302461
2019-10-18,Colgate-Palmolive Co,2870296.0,150389892.85274184,0.022315811764430052
2019-10-18,Nestle SA,2661075.0,214718352.11267608,0.03186127895447685
2019-10-18,Not Available,35156502.0,350018700.1549412,0.05193800779109836
2019-10-18,PepsiCo Inc,1168627.0,122632030.76863833,0.018196923097766767
2019-10-18,Starbucks Corp,2248104.0,148955935.8595194,0.022103032077364426
2019-10-18,Visa Inc,1528695.0,206875383.89556375,0.030697489293566166
2019-10-21,Accenture PLC,1061355.0,153421485.8796296,0.02284086072104704
2019-10-21,Alphabet Inc,180952.0,173846727.3611111,0.02588170010020869
2019-10-21,Apple Inc,816235.0,151475833.2175926,0.022551198675276024
2019-10-21,British American Tobacco PLC,5628884.0,149052848.32,0.022190473055537643
2019-10-21,Colgate-Palmolive Co,2870296.0,151266370.9876543,0.022520014662209605
2019-10-21,Nestle SA,2661075.0,212477789.38718006,0.03163295913791513
2019-10-21,Not Available,36722206.0,355581922.31322116,0.052937807999399754
2019-10-21,PepsiCo Inc,1168627.0,122741903.73456791,0.01827339053434148
2019-10-21,Starbucks Corp,2248104.0,148052219.44444448,0.022041502885883874
2019-10-21,Visa Inc,1528695.0,208107761.45833337,0.030982364479040653
2019-10-22,Accenture PLC,1061355.0,150660958.35922936,0.022926184307552704
2019-10-22,Alphabet Inc,180207.0,173866455.25170916,0.026457381138498277
2019-10-22,Apple Inc,816235.0,152162640.304537,0.023154696308434572
2019-10-22,British American Tobacco PLC,5628884.0,150178625.12,0.022852787318308383
2019-10-22,Colgate-Palmolive Co,2870296.0,149535464.38781855,0.02275491709601619
2019-10-22,Nestle SA,2654707.0,213635445.944885,0.03250905650474119
2019-10-22,Not Available,29534139.0,157102170.85624138,0.023906348156759776
2019-10-22,PepsiCo Inc,1168627.0,124071291.03480424,0.01888001587483386
2019-10-22,Starbucks Corp,2248104.0,145763486.51336232,0.02218093256216236
2019-10-22,Visa Inc,1528695.0,202915496.97016782,0.030877794307563808
2019-10-23,Accenture PLC,1061355.0,151303914.8466543,0.022457584491644908
2019-10-23,Alphabet Inc,180207.0,175614702.5325279,0.02606596150599564
2019-10-23,Apple Inc,816235.0,153726786.9423792,0.022817204101338
2019-10-23,British American Tobacco PLC,5628884.0,152908633.85999998,0.022695768102849446
2019-10-23,Colgate-Palmolive Co,2870296.0,150139243.9900868,0.022284715903328277
2019-10-23,Nestle SA,2654707.0,212700279.44969904,0.03157046201996356
2019-10-23,Not Available,34815911.0,349671462.9306496,0.051900682352078516
2019-10-23,PepsiCo Inc,1168627.0,124401937.07403965,0.018464604935014447
2019-10-23,Starbucks Corp,2248104.0,144058337.1747212,0.0213821452148547
2019-10-23,Visa Inc,1528695.0,202831495.8178439,0.030105668181239893
2019-10-24,Accenture PLC,1061355.0,152790191.42479187,0.022461114613682002
2019-10-24,Alphabet Inc,180207.0,176679483.16084352,0.025972990047042288
2019-10-24,Apple Inc,810419.0,153608170.58594662,0.022581362670962196
2019-10-24,British American Tobacco PLC,5628884.0,155385342.82,0.022842618114555086
2019-10-24,Colgate-Palmolive Co,2870296.0,152638727.445335,0.022438848460529758
2019-10-24,Nestle SA,2654707.0,216548480.3481807,0.03183398221549664
2019-10-24,Not Available,37068339.0,356142430.2349716,0.05235516671396068
2019-10-24,PepsiCo Inc,1168627.0,125392558.5790989,0.018433491074813683
2019-10-24,Starbucks Corp,2248104.0,145511859.55956736,0.021391154266772624
2019-10-24,Visa Inc,1528695.0,209551716.75356004,0.03080541416699747
2019-10-25,Accenture PLC,1061355.0,151479114.25118887,0.02228293946815448
2019-10-25,Alphabet Inc,180207.0,177673731.9638263,0.026136230291562933
2019-10-25,Apple Inc,810419.0,155791001.0290793,0.022917228310812623
2019-10-25,British American Tobacco PLC,5628884.0,152486467.56,0.02243112354563767
2019-10-25,Colgate-Palmolive Co,2870296.0,153080961.53426367,0.02251857502901995
2019-10-25,Nestle SA,2654707.0,217819978.648691,0.03204183905600959
2019-10-25,Not Available,34251484.0,340016697.00312084,0.050017268155651995
2019-10-25,PepsiCo Inc,1168627.0,124488339.65853278,0.018312532066316656
2019-10-25,Starbucks Corp,2248104.0,146134646.8542917,0.021496755550435603
2019-10-25,Visa Inc,1528695.0,211957905.78467295,0.03117951413793396
2019-10-28,Accenture PLC,1061355.0,150890141.37448496,0.022498880405670597
2019-10-28,Alphabet Inc,180207.0,180645884.7236259,0.026935690557055057
2019-10-28,Apple Inc,810419.0,156911180.86760476,0.023396663695152153
2019-10-28,British American Tobacco PLC,5628884.0,152767911.76000002,0.022778870409975525
2019-10-28,Colgate-Palmolive Co,2870296.0,150287207.96081784,0.022408978397208613
2019-10-28,Nestle SA,2654707.0,216818368.42845973,0.03232928603942196
2019-10-28,Not Available,33524008.0,336376213.1446694,0.050156280071814024
2019-10-28,PepsiCo Inc,1168627.0,124076334.75083572,0.018500735643190606
2019-10-28,Starbucks Corp,2248104.0,146110156.57311666,0.02178614791428801
2019-10-28,Visa Inc,1528695.0,213729696.6493042,0.031868741325641596
2019-10-29,Accenture PLC,1061355.0,152494482.97309905,0.022353062310972154
2019-10-29,Alphabet Inc,180207.0,176750523.48001865,0.025908579692963507
2019-10-29,Apple Inc,810419.0,153294074.4129995,0.022470268631692412
2019-10-29,British American Tobacco PLC,5628884.0,152880489.44,0.02240964420455185
2019-10-29,Colgate-Palmolive Co,2870296.0,151570909.90514693,0.02221768242093173
2019-10-29,Nestle SA,2654707.0,217382543.33515754,0.031864533337547477
2019-10-29,Not Available,36469549.0,340902016.23182946,0.04997035867920793
2019-10-29,PepsiCo Inc,1168627.0,123640772.94355467,0.018123605837409736
2019-10-29,Starbucks Corp,2248104.0,147047884.87016016,0.02155468492443225
2019-10-29,Visa Inc,1528695.0,211119649.23806566,0.030946501030608146
2019-10-30,Accenture PLC,1061355.0,153485983.49093166,0.022557307339011956
2019-10-30,Alphabet Inc,180207.0,176123201.7284142,0.02588422148106682
2019-10-30,Apple Inc,669800.0,126287046.96946208,0.018559973143050572
2019-10-30,British American Tobacco PLC,5628884.0,154597299.06,0.022720633567713387
2019-10-30,Colgate-Palmolive Co,2870296.0,152569291.3346768,0.02242258424421468
2019-10-30,Nestle SA,2654707.0,220189048.8286453,0.03236042753966467
2019-10-30,Not Available,36256660.0,335913814.12343615,0.04936809845603766
2019-10-30,PepsiCo Inc,1168627.0,124000183.14989924,0.018223880629277846
2019-10-30,Starbucks Corp,2248104.0,146696539.88528913,0.02155948615306362
2019-10-30,Visa Inc,1528695.0,212384575.06588122,0.031213430860998412
2019-10-31,Accenture PLC,1061355.0,152060302.9670839,0.02253557534360882
2019-10-31,Alphabet Inc,180207.0,175358792.55910987,0.025988448035221448
2019-10-31,Apple Inc,616870.0,118569449.23504867,0.017572178303926225
2019-10-31,British American Tobacco PLC,5628884.0,152092445.68,0.022540338944065576
2019-10-31,Colgate-Palmolive Co,2870296.0,152142099.8300108,0.022547697766959238
2019-10-31,Nestle SA,2654707.0,219014367.2567758,0.03245827266118418
2019-10-31,Not Available,35787364.0,327233832.5568158,0.04849656711625988
2019-10-31,PepsiCo Inc,1168627.0,123860736.81811158,0.018356355420938993
2019-10-31,Starbucks Corp,2248104.0,146885855.540102,0.02176871412094286
2019-10-31,Visa Inc,1528695.0,211267491.65507653,0.0313101735492322
2019-11-01,Accenture PLC,1061355.0,154308850.68747103,0.022901255424208525
2019-11-01,Alphabet Inc,180207.0,177187957.99474743,0.02629678509076676
2019-11-01,Apple Inc,616870.0,121896866.52247798,0.018090934273730434
2019-11-01,British American Tobacco PLC,5628884.0,154315854.85999998,0.0229022949261127
2019-11-01,Colgate-Palmolive Co,2870296.0,148126429.5998764,0.021983711136656436
2019-11-01,Nestle SA,2654707.0,218620480.81536654,0.032445860686606105
2019-11-01,Not Available,22777851.0,325943397.0595987,0.04837384865897494
2019-11-01,PepsiCo Inc,1168627.0,123605820.41557239,0.018344563209722033
2019-11-01,Starbucks Corp,2248104.0,144496163.9425305,0.021444936849204878
2019-11-01,Visa Inc,1528695.0,213646521.20346054,0.031707666350801855
2019-11-04,Accenture PLC,1061355.0,154705424.55759084,0.02365670861530062
2019-11-04,Alphabet Inc,176472.0,176742434.70971748,0.027026487854859303
2019-11-04,Apple Inc,610852.0,122085058.98789197,0.01866858046521316
2019-11-04,British American Tobacco PLC,5628884.0,156876997.08,0.023988773625603498
2019-11-04,Colgate-Palmolive Co,2870296.0,145720320.83203974,0.02228275562482557
2019-11-04,Nestle SA,2633659.0,216602313.10496545,0.03312164276836185
2019-11-04,Not Available,26907649.0,125321570.74184398,0.019163490166745546
2019-11-04,PepsiCo Inc,1154038.0,121064712.88419744,0.01851255471155335
2019-11-04,Starbucks Corp,2206988.0,141097176.00124186,0.021575809566138367
2019-11-04,Visa Inc,1508154.0,209472336.4638311,0.032031365680046664
2019-11-05,Accenture PLC,1061355.0,153947549.20832038,0.022906333305747945
2019-11-05,Alphabet Inc,176472.0,176923487.1313257,0.02632499436779809
2019-11-05,Apple Inc,610852.0,121909635.79633653,0.01813931280552207
2019-11-05,British American Tobacco PLC,5628884.0,157102152.44,0.023375716504401275
2019-11-05,Colgate-Palmolive Co,2870296.0,146945610.1831729,0.02186449308210453
2019-11-05,Nestle SA,2633659.0,213682379.03213197,0.031794463899205996
